solving stats,integer optimal solution,8160,0,46.4223,5399
0,0.00,0.000000,1
0,0.09,0.000000,1
0,0.09,6420.000000,1
0,0.10,6527.000000,1
0,0.21,6532.000000,1
0,0.36,6620.000000,1
10,1.09,6727.000000,1
20,1.33,6879.000000,1
40,1.67,7000.000000,1
60,1.94,7288.000000,1
78,2.05,7676.000000,0
79,2.05,7682.000000,0
144,2.85,7777.000000,0
244,3.81,7869.000000,1
533,6.05,7870.000000,0
633,6.94,7970.000000,1
1357,12.63,7973.000000,0
1359,12.63,7976.000000,0
1459,13.46,7977.000000,1
2679,23.49,8058.000000,0
2680,23.50,8059.000000,0
2830,25.09,8074.000000,0
2930,26.02,8083.000000,1
3923,34.86,8147.000000,0
3928,34.91,8160.000000,0
