solving stats,integer optimal solution,8348,0,104.432,25989
44,0.38,7754.000000,0
52,0.40,7768.000000,0
56,0.40,7866.000000,0
66,0.42,7867.000000,0
83,0.49,7965.000000,0
111,0.65,7973.000000,0
116,0.66,7976.000000,0
128,0.75,8063.000000,0
190,1.08,8151.000000,0
223,1.15,8154.000000,0
237,1.17,8156.000000,0
242,1.18,8158.000000,0
322,1.64,8164.000000,0
396,1.89,8169.000000,0
402,1.90,8171.000000,0
700,3.39,8225.000000,0
1097,5.56,8259.000000,0
2597,12.99,8327.000000,0
3522,17.28,8335.000000,0
5834,28.63,8348.000000,0
